VtoP;nb2017;nb2019;nb2020;VtoPtest;nb2020test;nb2021;VtoP00;real2021;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1125;952;1069;0;3675;1124;0;7270;;;;;;;;;;;;;;;;;;;;;;;;;;
0.13225;146;140;116;0;0;147;0.13;1;;;1;2;3;4;5;6;7;8;9;10;11;;1;0;1069;23;8.27;0;45;31.67;108;67;66.65;55
0.2645;117;133;124;0;0;149;0.26;4;;;0;0.13225;0.2645;0.39675;0.529;0.78775;1.0465;1.30525;1.564;1.9205;2.277;;2;0.13;116;24;8.94;129;46;33.26;101;68;67.69;50
0.39675;0;0;0;0;0;0;0.4;0;;;1069;116;124;0;111;130;130;111;119;126;147;;3;0.26;124;25;9.61;123;47;34.86;107;69;68.72;60
0.529;135;110;111;0;0;114;0.53;3;;;;;;;;;;;;;;;4;0.4;0;26;10.41;132;48;36.45;102;70;69.06;0
0.78775;113;116;130;0;0;146;0.79;3;;;12;13;14;15;16;17;18;19;20;21;22;;5;0.53;111;27;11.21;138;49;38.04;93;71;69.39;43
1.0465;137;122;130;0;0;135;1.05;5;;;2.6335;2.99;3.427;3.864;4.301;4.738;5.28425;5.8305;6.37675;6.923;7.59575;;6;0.79;130;28;12.01;126;50;39.77;103;72;69.72;57
1.30525;138;152;111;0;0;165;1.31;4;;;121;116;0;118;134;119;142;111;126;121;132;;7;1.05;130;29;12.81;132;51;41.49;0;73;70.06;42
1.564;130;143;119;0;0;164;1.56;4;;;;;;;;;;;;;;;8;1.31;111;30;13.75;128;52;43.22;67;74;70.17;40
1.9205;117;130;126;0;0;174;1.92;4;;;23;24;25;26;27;28;29;30;31;32;33;;9;1.56;119;31;14.69;120;53;44.94;94;75;70.28;51
2.277;148;138;147;0;0;162;2.28;3;;;8.2685;8.94125;9.614;10.41325;11.2125;12.01175;12.811;13.74825;14.6855;15.62275;16.56;;10;1.92;126;32;15.62;0;54;46.77;84;76;70.39;46
2.6335;135;165;121;0;0;138;2.63;2;;;0;129;123;132;138;126;132;128;120;0;133;;11;2.28;147;33;16.56;133;55;48.6;76;77;70.5;41
2.99;146;140;116;0;0;149;2.99;7;;;;;;;;;;;;;;;12;2.63;121;34;17.66;131;56;50.43;81;78;70.54;39
3.427;0;0;0;0;0;0;3.43;0;;;34;35;36;37;38;39;40;41;42;43;44;;13;2.99;116;35;18.77;131;57;52.26;96;79;70.59;0
3.864;160;143;118;0;0;160;3.86;5;;;17.664;18.768;19.872;20.976;22.2295;23.483;24.7365;25.99;27.41025;28.8305;30.25075;;14;3.43;0;36;19.87;122;58;53.98;60;80;70.63;36
4.301;145;128;134;0;0;177;4.3;6;;;131;131;122;137;139;117;118;132;0;125;112;;15;3.86;118;37;20.98;137;59;55.71;67;81;70.68;38
4.738;122;159;119;0;0;156;4.74;8;;;;;;;;;;;;;;;16;4.3;134;38;22.23;139;60;57.43;63;82;70.69;35
5.28425;112;154;142;0;0;158;5.28;6;;;45;46;47;48;49;50;51;52;53;54;55;;17;4.74;119;39;23.48;117;61;59.16;0;83;70.7;35
5.8305;118;139;111;0;0;159;5.83;8;;;31.671;33.26375;34.8565;36.44925;38.042;39.767;41.492;43.217;44.942;46.7705;48.599;;18;5.28;142;40;24.74;118;62;60.51;73;84;70.71;27
6.37675;123;142;126;0;0;163;6.38;6;;;108;101;107;102;93;103;0;67;94;84;76;;19;5.83;111;41;25.99;132;63;61.87;73;85;70.73;603
6.923;118;121;121;0;0;156;6.92;11;;;;;;;;;;;;;;;20;6.38;126;42;27.41;0;64;63.23;56;;;
7.59575;140;126;132;0;0;147;7.6;12;;;56;57;58;59;60;61;62;63;64;65;66;;21;6.92;121;43;28.83;125;65;64.58;55;;;
8.2685;0;0;0;0;0;1;8.27;0;;;50.4275;52.256;53.981;55.706;57.431;59.156;60.513;61.87;63.227;64.584;65.619;;22;7.6;132;44;30.25;112;66;65.62;55;;;
8.94125;126;131;129;0;0;131;8.94;7;;;81;96;60;67;63;0;73;73;56;55;55;;;;;;;;;;;;;
9.614;125;130;123;0;0;143;9.61;11;;;;;;;;;;;;;;;;;;;;;;;;;;
10.41325;139;116;132;0.41325;132;141;10.41;17;;;67;68;69;70;71;72;73;74;75;76;77;;;;;;;;;;;;;
11.2125;139;123;138;1.2125;138;154;11.21;10;;;66.654;67.689;68.724;69.0575;69.391;69.7245;70.058;70.16725;70.2765;70.38575;70.495;;;;;;;;;;;;;
12.01175;132;137;126;2.01175;126;146;12.01;15;;;55;50;60;0;43;57;42;40;51;46;41;;;;;;;;;;;;;
12.811;114;147;132;2.811;132;136;12.81;15;;;;;;;;;;;;;;;;;;;;;;;;;;
13.74825;139;130;128;3.74825;128;142;13.75;15;;;78;79;80;81;82;83;84;85;;;;21.25;;;;;;;;;;;;
14.6855;123;126;120;4.6855;120;132;14.69;7;;;70.541;70.587;70.633;70.679;70.6905;70.702;70.7135;70.725;;;;;;;;;;;;;;;;
15.62275;0;0;0;5.62275;0;1;15.62;0;;;39;0;36;38;35;35;27;603;;;;;;;;;;;;;;;;
16.56;114;120;133;6.56;133;147;16.56;16;;;;;;;;;;;;;;;;;;;;;;;;;;
17.664;113;133;131;7.664;131;149;17.66;13;;;;;;;;;;;;;;;;;;;;;;;;;;
18.768;126;120;131;8.768;131;136;18.77;10;;;;;;;;;;;;;;;;;;;;;;;;;;
19.872;110;113;122;9.872;122;110;19.87;10;;;;;;;;;;;;;;;;;;;;;;;;;;
20.976;128;103;137;10.976;137;123;20.98;16;;;;;;;;;;;;;;;;;;;;;;;;;;
22.2295;112;114;139;12.2295;139;99;22.23;19;;;;;;;;;;;;;;;;;;;;;;;;;;
23.483;96;107;117;13.483;117;102;23.48;15;;;;;;;;;;;;;;;;;;;;;;;;;;
24.7365;104;125;118;14.7365;118;116;24.74;22;;;;;;;;;;;;;;;;;;;;;;;;;;
25.99;96;134;132;15.99;132;114;25.99;19;;;;;;;;;;;;;;;;;;;;;;;;;;
27.41025;0;0;0;17.41025;0;0;27.41;0;;;;;;;;;;;;;;;;;;;;;;;;;;
28.8305;106;112;125;18.8305;125;107;28.83;10;;;;;;;;;;;;;;;;;;;;;;;;;;
30.25075;111;98;112;20.25075;112;99;30.25;18;;;;;;;;;;;;;;;;;;;;;;;;;;
31.671;104;96;108;21.671;108;98;31.67;16;;;;;;;;;;;;;;;;;;;;;;;;;;
33.26375;85;107;101;23.26375;101;90;33.26;21;;;;;;;;;;;;;;;;;;;;;;;;;;
